,name,link,features,price,rating,avgrating,website
10,"Nokia 6.2 (Black, 64 GB)",http://www.flipkart.com/nokia-6-2-black-64-gb/p/itm1c1da5aec530e?pid=MOBFH5SGWWZJGKEG&lid=LSTMOBFH5SGWWZJGKEGG7ONKQ&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFH5SGWWZJGKEG.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP + 8MP | 8MP Front Camera,3500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",16998,204 Ratings & 23 Reviews,4.2,flipkart
11,Nokia Mobile Battery For Nokia Device,http://www.flipkart.com/nokia-mobile-battery-device/p/itmepecdmgmfgtrv?pid=ACCEPEC8HD7HBVHJ&lid=LSTACCEPEC8HD7HBVHJADRCJI&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.ACCEPEC8HD7HBVHJ.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"For: Nokia For Nokia Device,1020 mAh Capacity,Battery Type: Lithium-ion,10 Days Replacement Warranty",399,169 Ratings & 42 Reviews,3.5,flipkart
12,"Nokia Mobile Battery For Nokia BL-4D E5, E7, N8, N97 Mini, 702T, T7, N950",http://www.flipkart.com/nokia-mobile-battery-bl-4d-e5-e7-n8-n97-mini-702t-t7-n950/p/itmf7ww7waxcg5gh?pid=ACCEA7H7S4H6ZBA8&lid=LSTACCEA7H7S4H6ZBA8VRTGRB&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.ACCEA7H7S4H6ZBA8.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"For: Nokia NOKIA BL-4D E5, E7, N8, N97 Mini, 702T, T7, N950,1150 mAh Capacity,Battery Type: Lithium Polymer,1 Months Domestic Warranty for Replacement",490,80 Ratings & 6 Reviews,3.3,flipkart
13,Nokia 139cm (55 inch) Ultra HD (4K) LED Smart Android TV  with Sound by JBL,http://www.flipkart.com/nokia-139cm-55-inch-ultra-hd-4k-led-smart-android-tv-sound-jbl/p/itmffvfvyztsmfmq?pid=TVSFFVFVJEGZ3R5H&lid=LSTTVSFFVFVJEGZ3R5HW9DJ5W&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.TVSFFVFVJEGZ3R5H.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,ADS,1 year warranty on product.",41999,"3,236 Ratings & 806 Reviews",4.4,flipkart
14,Brumal 10000 mAh Power Bank,http://www.flipkart.com/brumal-10000-mah-power-bank/p/itma9f80ce1f9e4e?pid=PWBFMYKHVKZC5JFZ&lid=LSTPWBFMYKHVKZC5JFZOSSDH8&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.PWBFMYKHVKZC5JFZ.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"Capacity: 10000 mAh,Lithium Polymer Battery | Micro, Type-C Connector,Power Source: Battery,Charging Cable Included,NA",799,64 Ratings & 3 Reviews,3.8,flipkart
15,Nokia 3310 DS,http://www.flipkart.com/nokia-3310-ds/p/itmffyywmfuz3teb?pid=MOBEVR8XEGPBYE33&lid=LSTMOBEVR8XEGPBYE33JJWW72&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBEVR8XEGPBYE33.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",3599,"24,780 Ratings & 2,864 Reviews",3.8,flipkart
16,"Nokia 5.1 Plus (Blue, 64 GB)",http://www.flipkart.com/nokia-5-1-plus-blue-64-gb/p/itmf9gavr3k5nxst?pid=MOBFNXECGBTZUAKJ&lid=LSTMOBFNXECGBTZUAKJOQIRMM&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFNXECGBTZUAKJ.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"6 GB RAM | 64 GB ROM,14.73 cm (5.8 inch) Display,13MP Rear Camera,3060 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",14989,34 Ratings & 2 Reviews,4.1,flipkart
17,"Nokia 3.1 Plus (White, 32 GB)",http://www.flipkart.com/nokia-3-1-plus-white-32-gb/p/itmfc4hwz2gcu7ce?pid=MOBFCFZ5WTG9ZPGN&lid=LSTMOBFCFZ5WTG9ZPGNM30PWA&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFCFZ5WTG9ZPGN.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"3 GB RAM | 32 GB ROM,15.24 cm (6 inch) Display,13MP Rear Camera,3500 mAh Battery,1 Year Warranty",11498,"3,752 Ratings & 437 Reviews",4.2,flipkart
18,"Nokia 3.2 (Black, 32 GB)",http://www.flipkart.com/nokia-3-2-black-32-gb/p/itmfhyq4pgkbtf2g?pid=MOBFHYJVDVAQC9HF&lid=LSTMOBFHYJVDVAQC9HF9J2WDH&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFHYJVDVAQC9HF.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"3 GB RAM | 32 GB ROM,15.9 cm (6.26 inch) Display,13MP Rear Camera,4000 mAh Battery,Qualcomm SDM429 Snapdragon 429 Processor,1 Year for device & 6 months for box accessories",10990,360 Ratings & 34 Reviews,4,flipkart
19,"Nokia 5 (Tempered Blue, 16 GB)",http://www.flipkart.com/nokia-5-tempered-blue-16-gb/p/itmezz3tggfcfsed?pid=MOBEVR8XHE424CBV&lid=LSTMOBEVR8XHE424CBVFT7NRK&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBEVR8XHE424CBV.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 430 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11990,903 Ratings & 166 Reviews,4,flipkart
